IdAssistenteDois;Assistant 2
0;ABDUL HAMID Halim (MAS)
1;ACKEBORN Gosta (SWE)
2;ADERODJOU Aboudou (BEN)
3;ADJENGUI Taoufik (TUN)
4;AGNOLIN Luigi (ITA)
5;AGUILAR ELIZALDE Abel (MEX)
6;AHLNER Sten (SWE)
7;AL DOY Ebrahim (BHR)
8;AL GHATTAN Yousif Abdulla (BAH)
9;AL MARZOUQI Saleh (UAE)
10;AL MUSAWI Mohamed (OMA)
11;AL SHANAR Fallaj Khuzam (KSA)
12;AL SHARIF Jamal (SYR)
13;ALDINGER Heinz (GER)
14;ALTRAIFI Ali (KSA)
15;ALVAREZ Alfredo (BOL)
16;ALVES Paulo Jorge (BRA)
17;AMLER Evzen (CZE)
18;ANAZ Hakan (AUS)
19;ANDREN Bengt (SWE)
20;ARANGO Jorge Luis (COL)
21;ARISTIZABAL MURCIA Gilberto (COL)
22;ARNAULT Frederic (FRA)
23;ARNET Matthias (SUI)
24;ARPPI FILHO Romualdo (BRA)
25;ASENSI Manuel (ESP)
26;ASHKENAZI Menachem (ISR)
27;AWANG HAMAT Mat Lazim (MAS)
28;AYROLDI Stefano (ITA)
29;Andrea STEFANI (ITA)
30;BAERT Jacques (FRA)
31;BAERT Louis (BEL)
32;BAKHRAMOV Tofik (URS)
33;BALKO Martin (SVK)
34;BALWAY Thomas (FRA)
35;BAMBRIDGE Christopher (AUS)
36;BARRANCOS Luis (BOL)
37;BARRETO RUIZ Ramon (URU)
38;BAUMBERGER Rene (SUI)
39;BELATTI Juan Pablo (ARG)
40;BENNACEUR Ali (TUN)
41;BEREUTER Egon (AUT)
42;BERNAL Manuel (PAR)
43;BIRLEM Alfred (GER)
44;BIRUMUSHAHU Jean Claude (BDI)
45;BONIVENTO Ferruccio (ITA)
46;BOSKOVIC Tony (AUS)
47;BOUTOURE D. (FRA)
48;BOUZO Farouk (SYR)
49;BRAATZ Roberto (BRA)
50;BRAZZALE Eugene (AUS)
51;BRONKHORST Jan (NED)
52;BROZZI Juan (ARG)
53;BRUMMEIER Horst (AUT)
54;BUCHMUELLER Fritz (SUI)
