IdAssistenteUm;Assistant 1
0;ABDUL HAMID Halim (MAS)
1;ACHIK Redouane (MAR)
2;ADAIR John (NIR)
3;ADJENGUI Taoufik (TUN)
4;AGNOLIN Luigi (ITA)
5;AGUILAR ELIZALDE Abel (MEX)
6;AHLNER Sten (SWE)
7;AL DOY Ebrahim (BHR)
8;AL GHATTAN Yousif Abdulla (BAH)
9;AL MUSAWI Mohamed (OMA)
10;AL SHANAR Fallaj Khuzam (KSA)
11;AL SHARIF Jamal (SYR)
12;ALDINGER Heinz (GER)
13;ALONSO FERNANDEZ Roberto (ESP)
14;ALONSO Gualberto (URU)
15;ALTRAIFI Ali (KSA)
16;ALVES Paulo Jorge (BRA)
17;AMLER Evzen (CZE)
18;ANDINO Amelio (PAR)
19;ANGONESE Aurelio (ITA)
20;APHESTEGUY Martin (URU)
21;ARANGO Jorge Luis (COL)
22;ARISTIZABAL MURCIA Gilberto (COL)
23;ARNAULT Frederic (FRA)
24;ARNET Matthias (SUI)
25;ARPPI FILHO Romualdo (BRA)
26;ASENSI Manuel (ESP)
27;ASTON Ken (ENG)
28;ASTROZA Carlos (CHI)
29;AWANG HAMAT Mat Lazim (MAS)
30;BABACAN Dogan (TUR)
31;BAERT Louis (BEL)
32;BAKHRAMOV Tofik (URS)
33;BALWAY Thomas (FRA)
34;BAMBRIDGE Christopher (AUS)
35;BARRETO RUIZ Ramon (URU)
36;BASUALTO Patricio (CHI)
37;BAUMBERGER Rene (SUI)
38;BENNACEUR Ali (TUN)
39;BERANEK Alois (AUT)
40;BEREUTER Egon (AUT)
41;BIWERSI Ferdinand (GER)
42;BLAVIER Arthur (BEL)
43;BORSCH Mark (GER)
44;BOSKOVIC Tony (AUS)
45;BOUTOURE D. (FRA)
46;BOUZO Farouk (SYR)
47;BRAZZALE Eugene (AUS)
48;BRONKHORST Jan (NED)
49;BROZZI Juan (ARG)
50;BRUMMEIER Horst (AUT)
51;BUCHMUELLER Fritz (SUI)
52;BUERGO Fernando (MEX)
53;BULNES R. (CHI)
54;BURAGINA Francesco (SUI)
55;BUSTAMANTE Sergio (CHI)
56;BUTENKO Valeri (RUS)
57;CAIRONI Camillo (ITA)
58;CALCAGNO Paolo (ITA)
59;CALIX GARCIA Raimundo (HON)
60;CALLAGHAN Leo (WAL)
61;CAMARGO Jose Luis (MEX)
62;CAPDEVILLE Pierre (FRA)
63;CARDELLINO DE SAN VICENTE Juan (URU)
64;CARDINAL Jose (POR)
65;CARMINATI Ettore (ITA)
66;CARRARO Albino (ITA)
67;CASARIN Paolo (ITA)
68;CASAS Ricardo (ARG)
69;CASTRO Gaston (CHI)
70;CHAN Thomson Tam Sun (HKG)
71;CHARLES Curtis (ATG)
72;CHOI Duk Ryong (PRK)
73;CHRISTENSEN Carl-Johan Meyer (DEN)
74;CHRISTOV Vojtech (TCH)
75;CLAVIJO Humberto (COL)
76;CLIVE Thomas (WAL)
77;CODESAL Jose Maria (URU)
78;CODESAL MENDEZ Edgardo (MEX)
79;COEREZZA Norberto Angel (ARG)
80;COMESANA Miguel (ARG)
81;COPELLI Cristiano (ITA)
82;CORVER Charles (NED)
83;COURTNEY George (ENG)
84;CRAWFORD William (SCO)
85;CREAM Matthew (AUS)
86;CRISTOPHE Henry (BEL)
87;D ELIA Pietro (ITA)
88;DA COSTA VIEIRA Jose (POR)
89;DAGORNE Lionel (FRA)
90;DAHLNER Gunnar (SWE)
91;DAINA Andre (SUI)
92;DANSAULT Eric (FRA)
93;DANTE Dramane (MLI)
94;DATTILO Generoso (ITA)
95;DAVIDSON Bob (SCO)
96;DE CARVALHO Emerson (BRA)
97;DE LA SALLE Charles (FRA)
98;DIAZ Eduardo (COL)
99;DIAZ GALVEZ Jorge (CHI)
100;DIAZ PALACIO Jesus (COL)
101;DIENST Gottfried (SUI)
102;DIRAMBA Jean Fidele (GAB)
103;DOERFLINGER Ernst (SUI)
104;DOLSTRA Jan (NED)
105;DORIRI Elise (VAN)
106;DOROGI Andor (HUN)
107;DOTCHEV Bogdan (BUL)
108;DUBACH Jean (SUI)
109;DUNSTAN Keith (BER)
110;DUNSTER Gordon (AUS)
