IdCidade;City
0;Alicante 
1;Antibes 
2;Arica 
3;Barcelona 
4;Bari 
5;Basel 
6;Belo Horizonte 
7;Berlin 
8;Berlin West 
9;Berne 
10;Bilbao 
11;Birmingham 
12;Bologna 
13;Boras 
14;Bordeaux 
15;Boston 
16;Brasilia 
17;Buenos Aires 
18;Busan 
19;Cagliari 
20;Cape Town 
21;Chicago 
22;Cologne 
23;Colombes 
24;Cordoba 
25;Cuiaba 
26;Curitiba 
27;Daegu 
28;Daejeon 
29;Dallas 
30;Detroit 
31;Dortmund 
32;Durban 
33;D�Sseldorf 
34;Elche 
35;Eskilstuna 
36;Florence 
37;Fortaleza 
38;Frankfurt/Main 
39;Gelsenkirchen 
40;Geneva 
41;Genoa 
42;Gijon 
43;Gothenburg 
44;Guadalajara 
45;Gwangju 
46;Halmstad 
47;Hamburg 
48;Hanover 
49;Helsingborg 
50;Ibaraki 
51;Incheon 
52;Irapuato 
53;Jeju 
54;Jeonju 
55;Johannesburg 
56;Kaiserslautern 
57;Kobe 
58;La Coru�A 
59;Lausanne 
60;Le Havre 
61;Leipzig 
62;Lens 
63;Leon 
64;Lille 
65;Liverpool 
66;London 
67;Los Angeles 
68;Lugano 
69;Lyon 
70;Madrid 
71;Malaga 
72;Malm� 
73;Manaus 
74;Manchester 
75;Mangaung/Bloemfontein 
76;Mar Del Plata 
77;Marseilles 
78;Mendoza 
79;Mexico City 
80;Middlesbrough 
81;Milan 
82;Monterrey 
83;Montevideo 
84;Montpellier 
85;Munich 
86;Nantes 
87;Naples 
88;Natal 
89;Nelson Mandela Bay/Port Elizabeth 
90;Nelspruit 
91;New York/New Jersey 
92;Nezahualcoyotl 
93;Niigata 
94;Norrk�Ping 
95;Nuremberg 
96;Oita 
97;Orebro 
98;Orlando 
99;Osaka 
100;Oviedo 
101;Palermo 
102;Paris 
103;Phokeng 
104;Polokwane 
105;Porto Alegre 
106;Puebla 
107;Queretaro 
108;Rancagua 
109;Recife 
110;Reims 
111;Rifu 
112;Rio De Janeiro 
113;Rome 
114;Rosario 
115;Saint-Denis 
116;Saint-Etienne 
117;Saitama 
118;Salvador 
119;San Francisco 
120;Sandviken 
121;Santiago De Chile 
122;Sao Paulo 
123;Sapporo 
124;Seoul 
125;Seville 
126;Sheffield 
127;Shizuoka 
128;Solna 
129;Strasbourg 
130;Stuttgart 
131;Sunderland 
132;Suwon 
133;Toluca 
134;Toulouse 
135;Trieste 
136;Tshwane/Pretoria 
137;Turin 
138;Udevalla 
139;Udine 
140;Ulsan 
141;Valencia 
142;Valladolid 
143;Vasteras 
144;Verona 
145;Vigo 
146;Vina Del Mar 
147;Washington Dc 
148;Yokohama 
149;Zaragoza 
150;Zurich 
151;
