IdSelecao;Team Name
38;Algeria
66;Angola
4;Argentina
33;Australia
9;Austria
28;Belgium
53;Bolivia
7;Brazil
29;Bulgaria
47;Cameroon
40;Canada
5;Chile
60;China PR
49;Colombia
46;Costa Rica
59;Croatia
17;Cuba
67;Czech Republic
16;Czechoslovakia
70;C�te d'Ivoire
44;Denmark
79;Dutch East Indies
63;Ecuador
78;Egypt
81;El Salvador
18;England
0;France
30;German DR
13;Germany
19;Germany FR
71;Ghana
55;Greece
36;Haiti
39;Honduras
10;Hungary
76;IR Iran
69;Iran
43;Iraq
80;Israel
15;Italy
56;Jamaica
58;Japan
26;Korea DPR
42;Korea Republic
82;Kuwait
23;Mexico
41;Morocco
35;Netherlands
74;New Zealand
51;Nigeria
22;Northe Ireland
50;Norway
8;Paraguay
27;Peru
32;Poland
25;Portugal
3;Romania
54;Russia
52;Saudi Arabia
34;Scotland
61;Senegal
73;Serbia
75;Slovakia
62;Slovenia
57;South Africa
21;Soviet Union
14;Spain
12;Sweden
11;Switzerland
68;Togo
37;Tunisia
20;Turkey
1;USA
72;Ukraine
6;Uruguay
24;Wales
2;Yugoslavia
31;Zaire
77;Bosnia and Herzegovina
48;Republic of Ireland
65;Serbia and Montenegro
64;Trinidad and Tobago
45;United Arab Emirates
