IdSelecaoSigla;Team Initials
38;ALG
66;ANG
4;ARG
33;AUS
9;AUT
28;BEL
76;BIH
53;BOL
7;BRA
29;BUL
40;CAN
5;CHI
60;CHN
70;CIV
47;CMR
49;COL
46;CRC
59;CRO
17;CUB
67;CZE
44;DEN
63;ECU
77;EGY
18;ENG
14;ESP
0;FRA
19;FRG
30;GDR
13;GER
71;GHA
55;GRE
36;HAI
39;HON
10;HUN
78;INH
48;IRL
69;IRN
43;IRQ
79;ISR
15;ITA
56;JAM
58;JPN
42;KOR
52;KSA
81;KUW
41;MAR
23;MEX
35;NED
51;NGA
22;NIR
50;NOR
74;NZL
8;PAR
27;PER
32;POL
25;POR
26;PRK
3;ROU
57;RSA
54;RUS
65;SCG
34;SCO
61;SEN
80;SLV
73;SRB
11;SUI
75;SVK
62;SVN
12;SWE
16;TCH
68;TOG
64;TRI
37;TUN
20;TUR
45;UAE
72;UKR
21;URS
6;URU
1;USA
24;WAL
2;YUG
31;ZAI
