IdFatoCopas;GoalsScored;QualifiedTeams;MatchesPlayed;Attendance;IdTempo;IdPais;IdWinner;IdRunnersUp;IdThird;IdFourth
0;70;13;18;590.549;0;14;6;4;1;2
1;89;16;32;893.172;6;2;7;16;5;2
2;115;24;52;2.516.215;13;6;19;4;15;18
3;171;32;64;3.386.810;19;1;13;4;35;7
4;97;16;38;1.865.753;9;5;19;35;32;7
5;88;13;22;1.045.246;3;1;6;7;12;14
6;141;24;52;3.587.538;14;13;7;15;12;29
7;171;32;64;2.785.100;15;4;0;7;59;35
8;70;16;17;363.000;1;6;15;16;13;9
9;147;32;64;3.359.439;17;5;15;0;13;25
10;145;32;64;3.178.856;18;9;14;35;13;6
11;140;16;26;768.607;4;12;19;10;9;6
12;95;16;32;1.603.975;8;8;7;15;19;6
13;84;15;18;375.700;2;4;15;10;7;12
14;102;16;38;1.545.791;10;0;4;35;7;15
15;146;24;52;2.109.723;11;10;15;19;32;0
16;89;16;32;1.563.135;7;3;18;19;25;21
17;132;24;52;2.394.031;12;8;4;19;0;28
18;126;16;35;819.810;5;11;7;12;0;19
19;161;32;64;2.705.197;16;7;7;13;20;42
