IdFatoPartidas;Home Team Goals;Away Team Goals;Win conditions;Attendance;Half-time Home Goals;Half-time Away Goals;RoundID;MatchID;IdTempo;IdArbitro;IdAssistenteUm;IdAssistenteDois;IdCidade_y;IdEtapa;IdSelecaoHome;IdSelecaoSiglaHome;IdSelecaoAway;IdSelecaoSiglaAway
0;4;1; ;4444.0;3;0;201;1096;0;191;86;291;124;2;0;0;23;23
1;3;2; ;19000.0;1;0;211;1275;4;19;135;38;17;2;0;0;23;23
2;1;1; ;69237.0;0;0;238;1650;7;20;130;131;177;2;0;0;23;23
3;0;2; ;35370.0;0;0;249722;300061451;18;7;188;9;123;8;0;0;23;23
4;3;0; ;9249.0;1;0;201;1095;0;79;20;191;122;2;5;5;23;23
5;6;3; ;42100.0;3;1;201;1086;0;296;14;285;35;2;4;4;23;23
6;2;1;Argentina win after extra time ;43000.0;0;0;97410200;97410050;17;55;54;23;180;20;4;4;23;23
7;3;1; ;84377.0;2;0;249717;300061502;18;285;58;28;149;20;4;4;23;23
8;4;0; ;81649.0;1;0;208;1187;3;276;159;239;99;2;7;7;23;23
9;5;0; ;13470.0;4;0;211;1249;4;361;318;80;17;2;7;7;23;23
10;2;0; ;10484.0;0;0;231;1461;6;96;334;323;45;4;7;7;23;23
11;0;0; ;60342.0;0;0;255931;300186509;19;81;112;258;34;8;7;7;23;23
12;2;1; ;3580.0;2;0;208;1222;3;104;90;58;49;2;11;11;23;23
13;4;1; ;11078.0;2;0;208;1225;3;180;90;372;49;2;2;2;23;23
14;6;0; ;35258.0;4;0;278;2350;10;47;145;293;43;3;19;19;23;23
15;0;0;Germany FR win on penalties (4 - 1) ;41700.0;0;0;714;575;12;94;34;336;46;19;19;19;23;23
16;2;0; ;92570.0;1;0;238;1634;7;189;72;26;177;2;18;18;23;23
17;0;0; ;61112.0;0;0;238;1689;7;190;367;203;177;2;6;6;23;23
18;2;2; ;31800.0;1;0;1014;8750;15;86;134;10;160;12;28;28;23;23
19;1;2; ;110000.0;1;2;308;428;12;113;325;234;32;9;28;28;23;23
20;4;1; ;26851.0;1;1;251;1882;8;299;109;189;97;19;15;15;23;23
21;1;1; ;52535.0;0;0;337;3078;14;174;337;50;127;12;15;15;23;23
22;3;1; ;22651.0;1;0;278;2431;10;235;119;76;7;3;32;32;23;23
23;3;0; ;34107.0;1;0;220;1415;5;179;253;112;129;4;12;12;23;23
24;1;0; ;11875.0;0;0;231;1497;6;327;367;379;45;4;14;14;23;23
25;4;0; ;13300.0;1;0;220;1403;5;109;77;244;79;4;10;10;23;23
26;2;1; ;52000.0;2;1;97410100;97410039;17;226;305;33;54;11;25;25;23;23
27;2;2; ;30600.0;2;0;1014;8766;15;10;349;139;153;12;35;35;23;23
28;2;1; ;58817.0;0;0;255951;300186508;19;266;249;361;34;20;35;35;23;23
29;2;1; ;58817.0;0;0;255951;300186508;19;266;249;361;34;20;35;35;23;23
30;2;1; ;29800.0;0;0;1024;8777;15;222;228;307;88;20;13;13;23;23
31;3;1; ;17396.0;0;1;278;2433;10;136;108;144;7;3;37;37;23;23
32;1;1; ;84490.0;0;0;249722;300061454;18;290;176;182;149;8;57;57;23;23
33;1;3; ;39100.0;1;0;1014;8732;15;39;136;320;158;12;42;42;23;23
34;1;0; ;52395.0;0;0;337;3055;14;268;236;165;127;12;50;50;23;23
35;0;1; ;103763.0;0;0;308;627;12;257;260;4;32;9;43;43;23;23
36;1;3; ;41212.0;0;0;255931;300186452;19;290;294;182;3;8;59;59;23;23
37;0;1; ;32239.0;0;0;43950100;43950009;16;155;197;3;109;14;59;59;23;23
38;3;1; ;23127.0;3;1;278;2344;10;73;272;333;39;2;0;0;10;10
39;2;1; ;71615.0;1;1;278;2199;10;128;259;266;30;2;4;4;10;10
40;4;1; ;32093.0;2;0;293;752;11;172;362;287;83;4;4;4;10;10
41;3;2; ;62500.0;2;2;3484;1278;4;187;266;149;176;0;19;19;10;10
42;1;0; ;11690.0;1;0;232;1525;6;179;52;303;37;19;16;16;10;10
43;2;1; ;26844.0;1;0;239;1676;7;126;77;123;134;19;21;21;10;10
44;6;0; ;16500.0;3;0;308;610;12;2;83;53;38;10;21;21;10;10
45;1;1; ;37000.0;0;1;293;779;11;355;122;188;111;4;28;28;10;10
46;3;1; ;26533.0;2;0;278;2396;10;35;41;148;39;2;15;15;10;10
47;4;2; ;45000.0;3;1;3487;1174;2;62;377;187;155;0;15;15;10;10
48;2;1; ;38850.0;1;0;220;1406;5;232;360;103;129;4;12;12;10;10
49;3;1; ;29886.0;1;0;238;1675;7;61;173;69;114;4;25;25;10;10
50;2;1; ;2823.0;0;1;220;1408;5;179;77;112;129;4;24;24;10;10
51;2;1; ;23000.0;1;0;418;1106;1;216;121;43;92;19;9;9;10;10
52;0;2; ;45000.0;0;1;3469;564;12;2;277;254;78;21;0;0;19;19
53;6;3; ;32483.0;3;1;3483;1382;5;51;117;211;112;16;0;0;19;19
54;1;3; ;31156.0;1;2;220;1323;5;180;166;6;98;2;4;4;19;19
55;3;2; ;114600.0;1;0;3467;393;12;18;137;366;32;0;4;4;19;19
56;1;0; ;63324.0;0;0;232;1511;6;363;364;330;104;19;2;2;19;19
57;0;2; ;67385.0;0;1;263;2066;9;208;19;270;131;9;2;2;19;19
58;4;2;England win after extra time ;96924.0;0;0;3478;1633;7;96;32;131;177;0;18;18;19;19
59;1;1; ;30500.0;1;0;308;585;12;69;324;332;36;12;6;6;19;19
60;0;3; ;53300.0;0;2;262;1954;9;156;156;270;174;2;33;33;19;19
61;1;0; ;60200.0;0;0;262;2062;9;35;231;271;174;2;30;30;19;19
62;4;3;Italy win after extra time ;102444.0;0;0;569;1838;8;363;171;381;32;21;15;15;19;19
63;3;1; ;90000.0;0;0;3475;923;11;73;194;67;144;0;15;15;19;19
64;0;1; ;62000.0;0;0;263;2064;9;186;270;316;175;9;32;32;19;19
65;3;1; ;49471.0;1;1;488;1390;5;365;321;110;112;21;12;12;19;19
66;8;3; ;56000.0;3;1;211;1277;4;187;316;149;151;3;10;10;19;19
67;3;2; ;38318.0;0;1;279;2217;10;165;183;137;43;8;9;9;19;19
68;1;2; ;78200.0;1;2;605;2063;9;324;156;37;116;0;35;35;19;19
69;2;0; ;36000.0;1;0;308;512;12;262;34;130;36;12;44;44;19;19
70;0;1; ;19800.0;0;0;309;574;12;257;260;53;46;20;41;41;19;19
71;2;1; ;76000.0;0;0;1026;8786;15;125;349;93;157;21;0;0;59;59
72;1;0; ;31800.0;1;0;1014;8772;15;38;329;218;160;15;4;4;59;59
73;3;1; ;62103.0;1;1;255931;300186456;19;240;307;248;5;8;7;7;59;59
74;1;0; ;72000.0;1;0;97410100;97410011;17;16;292;383;116;13;7;7;59;59
75;1;2; ;36472.0;0;0;43950100;43950025;16;261;322;192;85;14;15;15;59;59
76;0;1; ;31800.0;0;1;1024;8780;15;66;302;275;160;20;3;3;59;59
77;1;2; ;45500.0;1;2;1028;8787;15;134;383;129;120;16;35;35;59;59
78;0;3; ;39100.0;0;1;1025;8783;15;254;262;371;158;19;13;13;59;59
79;0;1; ;35500.0;0;0;1014;8751;15;273;155;307;87;15;58;58;59;59
80;0;0; ;41000.0;0;0;97410100;97410028;17;90;167;387;60;13;58;58;59;59
81;1;0; ;65862.0;0;0;43950100;43950044;16;217;148;377;77;14;63;63;59;59
82;0;4; ;39982.0;0;1;255931;300186453;19;266;249;361;0;8;47;47;59;59
83;1;3; ;38100.0;1;1;1014;8736;15;222;160;279;152;15;56;56;59;59
84;7;3; ;16518.0;2;2;220;1386;5;126;159;52;73;3;0;0;8;8
85;1;0;France win after extra time ;31800.0;0;0;1024;8776;15;54;373;129;152;20;0;0;8;8
86;1;0; ;48000.0;1;0;97410100;97410003;17;282;61;195;53;9;18;18;8;8
